epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6314581036567688,0.6578769087791443,0.001,0.6986466646194458,0.5747170448303223
1,0.6619130969047546,0.6110785007476807,0.001,0.6771386861801147,0.5978726148605347
2,0.6634842157363892,0.5984619855880737,0.001,0.6493474841117859,0.6256166100502014
3,0.656233012676239,0.5875944495201111,0.001,0.7216046452522278,0.5157241225242615
4,0.6624569296836853,0.5844369530677795,0.001,0.6599806547164917,0.6007971167564392
5,0.6672910451889038,0.5728400945663452,0.001,0.6070565581321716,0.6542741656303406
6,0.6665055155754089,0.567084014415741,0.001,0.6585307121276855,0.6128681898117065
7,0.6643301844596863,0.5616084337234497,0.001,0.6785886883735657,0.5692021250724792
8,0.6675328016281128,0.5583255290985107,0.001,0.5720154643058777,0.6775047183036804
9,0.672487735748291,0.5488187074661255,0.001,0.6546640992164612,0.6018421649932861
10,0.6691642999649048,0.5418906807899475,0.001,0.6447558999061584,0.6009768843650818
11,0.6765363216400146,0.5390526056289673,0.001,0.6232479214668274,0.6204244494438171
12,0.6749652624130249,0.5326645374298096,0.001,0.6360560655593872,0.6127767562866211
13,0.6754486560821533,0.5263360738754272,0.001,0.5872402191162109,0.6743001937866211
14,0.6892259120941162,0.5029157996177673,0.0005,0.6585307121276855,0.6018161177635193
15,0.6927911043167114,0.49415814876556396,0.0005,0.6604639887809753,0.5892446637153625
16,0.6978669166564941,0.4848560094833374,0.0005,0.7162880897521973,0.5230265259742737
17,0.7026406526565552,0.47713857889175415,0.0005,0.7104881405830383,0.5215392112731934
18,0.7044534683227539,0.4702243506908417,0.0005,0.6512808203697205,0.5928457379341125
19,0.7057223916053772,0.46517863869667053,0.0005,0.6727887988090515,0.5809482932090759
20,0.7152093648910522,0.4575425684452057,0.0005,0.679555356502533,0.5889476537704468
21,0.7132757306098938,0.4519302546977997,0.0005,0.6957467198371887,0.5538437962532043
22,0.7156323790550232,0.448223352432251,0.0005,0.675205409526825,0.5672521591186523
23,0.7181702852249146,0.4416654109954834,0.0005,0.6524891257286072,0.6158244609832764
24,0.7327330708503723,0.4206453561782837,0.00025,0.6848719120025635,0.5946914553642273
25,0.7357544302940369,0.41388699412345886,0.00025,0.6877718567848206,0.5730120539665222
26,0.7379297614097595,0.40818753838539124,0.00025,0.7037215828895569,0.5519710779190063
27,0.7394404411315918,0.40710362792015076,0.00025,0.6899468302726746,0.577337384223938
28,0.7438516020774841,0.40219298005104065,0.00025,0.6911551356315613,0.5930451154708862
29,0.7453018426895142,0.3986535966396332,0.00025,0.7027549743652344,0.5863578915596008
30,0.74506014585495,0.39483141899108887,0.00025,0.7085548639297485,0.5876878499984741
31,0.751223623752594,0.3926418423652649,0.00025,0.7022716403007507,0.5842975378036499
32,0.7491087317466736,0.38985392451286316,0.00025,0.6993716955184937,0.6009599566459656
33,0.7525530457496643,0.3866230547428131,0.00025,0.6916384696960449,0.5970162749290466
34,0.7616774439811707,0.3739417493343353,0.000125,0.6998550295829773,0.6114842295646667
35,0.7622817158699036,0.37078845500946045,0.000125,0.6974383592605591,0.5971325039863586
36,0.7650613188743591,0.3679615259170532,0.000125,0.692363440990448,0.6230326294898987
37,0.7645174860954285,0.3667810261249542,0.000125,0.6996133327484131,0.6117300391197205
38,0.7643966674804688,0.3651916980743408,0.000125,0.7013049721717834,0.6134451627731323
39,0.7668741345405579,0.363465279340744,0.000125,0.6974383592605591,0.6188011169433594
40,0.7680222392082214,0.3613778054714203,0.000125,0.6979216933250427,0.6232457756996155
41,0.7698350548744202,0.35986483097076416,0.000125,0.7008216381072998,0.624006986618042
42,0.7698350548744202,0.35761019587516785,0.000125,0.6971967220306396,0.6312328577041626
43,0.7697746157646179,0.35669562220573425,0.000125,0.7013049721717834,0.6306511759757996
44,0.7724937796592712,0.3503796458244324,6.25e-05,0.7039632797241211,0.6284373998641968
45,0.7766632437705994,0.34832435846328735,6.25e-05,0.7112131714820862,0.6227790117263794
46,0.7766632437705994,0.34760090708732605,6.25e-05,0.7083131670951843,0.6262646913528442
47,0.7767236828804016,0.3467758595943451,6.25e-05,0.7013049721717834,0.6356382966041565
48,0.7777509093284607,0.34590160846710205,6.25e-05,0.703238308429718,0.6378681063652039
49,0.7772675156593323,0.34518614411354065,6.25e-05,0.7063798904418945,0.6320009827613831
50,0.7791407108306885,0.34418240189552307,6.25e-05,0.7121797800064087,0.6308456659317017
51,0.7782343626022339,0.3432738184928894,6.25e-05,0.7071048617362976,0.6391951441764832
52,0.7787177562713623,0.342647910118103,6.25e-05,0.7083131670951843,0.6279722452163696
53,0.7794428467750549,0.3415677547454834,6.25e-05,0.713871419429779,0.6294426918029785
