episode,return,length
354,-15.0,18
355,-15.0,43
356,-14.0,40
357,-9.0,43
358,-15.0,43
359,-15.0,39
360,-15.0,27
361,-15.0,43
362,-15.0,42
363,-5.0,98
364,-15.0,24
365,-15.0,24
366,-14.0,43
367,-15.0,24
368,-15.0,34
369,-15.0,24
370,-15.0,27
371,-15.0,24
372,-15.0,24
373,-10.0,50
374,-15.0,24
375,0.0,123
376,-15.0,24
377,-15.0,24
378,-9.0,61
379,-15.0,39
380,-15.0,37
381,-10.0,43
382,-15.0,24
383,-9.0,45
384,-5.0,99
385,-15.0,43
386,-10.0,62
387,-15.0,24
388,-15.0,30
389,-9.0,62
390,-15.0,24
391,-15.0,43
392,-5.0,77
393,-15.0,43
394,-10.0,71
395,-15.0,32
396,-10.0,71
397,-15.0,39
398,-15.0,24
399,-15.0,24
400,-15.0,38
401,-9.0,49
402,-15.0,32
403,0.0,127
404,-15.0,24
405,-15.0,24
406,-15.0,24
407,-10.0,62
408,-15.0,43
409,-15.0,24
410,-15.0,40
411,-10.0,45
412,-15.0,32
413,-15.0,43
414,-15.0,30
415,-5.0,85
416,-10.0,71
417,6.0,154
418,-4.0,75
419,-10.0,71
420,-10.0,52
421,-9.0,54
422,32.0,272
423,-10.0,71
424,-5.0,99
425,-10.0,53
426,-10.0,71
427,-15.0,30
428,-15.0,34
429,12.0,169
430,30.0,272
431,1.0,111
432,-15.0,30
433,-15.0,43
434,12.0,181
435,-9.0,47
436,11.0,163
437,-15.0,29
438,-10.0,65
439,-9.0,63
440,0.0,109
441,-5.0,99
442,-9.0,71
443,-14.0,43
444,-15.0,43
445,-10.0,71
446,-10.0,48
447,-5.0,99
448,-10.0,71
449,-3.0,99
450,-4.0,96
451,-9.0,71
452,-15.0,43
453,-15.0,39
454,-15.0,43
455,-5.0,99
456,-15.0,43
457,1.0,127
458,10.0,181
459,-10.0,71
460,-4.0,99
461,-10.0,71
462,30.0,288
463,5.0,154
464,11.0,181
465,-10.0,71
466,-15.0,43
467,-10.0,66
468,-15.0,43
469,10.0,181
470,21.0,224
471,-15.0,43
472,-4.0,96
473,5.0,154
474,7.0,137
475,-14.0,43
476,-10.0,71
477,68.0,468
478,-15.0,24
479,0.0,116
480,-15.0,43
481,-10.0,71
482,10.0,165
483,-15.0,43
484,0.0,127
485,40.0,325
486,-10.0,71
487,-9.0,57
488,-15.0,43
489,-10.0,71
490,-8.0,71
491,5.0,154
492,-10.0,71
493,-5.0,99
494,5.0,154
495,-10.0,71
496,-15.0,43
497,-10.0,71
498,-15.0,43
499,-15.0,43
500,1.0,127
501,-10.0,71
502,-5.0,99
503,-10.0,60
504,-9.0,71
505,-15.0,39
506,-10.0,71
507,-15.0,43
508,-5.0,83
509,-15.0,43
510,-10.0,71
511,10.0,181
512,-5.0,99
513,5.0,154
514,-15.0,43
515,-10.0,71
516,-4.0,99
517,1.0,127
518,-15.0,31
519,-10.0,71
520,-10.0,54
521,-15.0,43
522,22.0,235
523,-10.0,62
524,8.0,154
525,23.0,233
526,-15.0,43
527,26.0,262
528,0.0,127
529,0.0,127
530,-10.0,71
531,2.0,127
532,-4.0,99
533,20.0,235
534,-15.0,43
535,-9.0,56
536,-10.0,71
537,5.0,154
538,-15.0,43
539,-10.0,71
540,-5.0,99
541,-10.0,44
542,-14.0,43
543,40.0,341
544,-10.0,52
545,-5.0,99
546,-14.0,43
547,6.0,154
548,10.0,181
549,-9.0,54
550,-15.0,43
551,-9.0,71
552,-15.0,43
553,0.0,127
554,0.0,127
555,-10.0,71
556,47.0,366
557,5.0,154
558,-15.0,43
559,-10.0,71
560,-5.0,99
561,1.0,127
562,12.0,181
563,-10.0,71
564,-5.0,99
565,0.0,127
566,-15.0,39
567,15.0,208
568,-10.0,71
569,-5.0,92
570,-4.0,99
571,-10.0,48
572,5.0,154
573,-10.0,71
574,-10.0,45
575,-15.0,43
576,-15.0,43
577,-10.0,50
578,-5.0,99
579,-10.0,48
580,5.0,154
581,-15.0,43
582,-5.0,99
583,-9.0,46
584,-15.0,43
585,-9.0,71
586,-2.0,99
587,-15.0,43
588,-15.0,43
589,-15.0,43
590,-10.0,59
591,-9.0,71
592,-14.0,43
593,-10.0,71
594,13.0,169
595,-10.0,71
596,-15.0,43
597,-15.0,43
598,-15.0,43
599,-15.0,43
600,-15.0,43
601,-15.0,43
602,-5.0,99
603,-10.0,71
604,-14.0,43
605,12.0,176
606,-15.0,43
607,-10.0,71
608,-14.0,43
609,2.0,127
610,-15.0,43
611,-15.0,43
612,26.0,248
613,-5.0,98
614,-8.0,71
615,18.0,208
616,-15.0,43
617,1.0,127
618,-8.0,71
619,-4.0,99
620,12.0,179
621,18.0,208
622,-10.0,71
623,-15.0,43
624,-15.0,43
625,-10.0,71
626,-14.0,43
627,-15.0,43
628,-10.0,71
629,5.0,154
630,6.0,154
631,-5.0,99
632,-5.0,99
633,-10.0,71
634,-15.0,43
635,-10.0,71
636,15.0,208
637,-10.0,71
638,10.0,181
639,-15.0,43
640,0.0,127
641,15.0,208
642,-9.0,71
643,-10.0,71
644,16.0,206
645,-15.0,32
646,-15.0,43
647,-15.0,43
648,0.0,127
649,13.0,165
650,-15.0,43
651,-5.0,99
652,1.0,127
653,-15.0,43
654,-15.0,35
655,-15.0,43
656,5.0,154
657,0.0,127
658,-10.0,71
659,-5.0,99
660,21.0,208
661,16.0,208
662,20.0,208
663,-15.0,34
664,31.0,288
665,-15.0,43
666,21.0,235
667,-15.0,43
668,1.0,127
669,-15.0,43
670,-5.0,99
671,23.0,235
672,-5.0,99
673,-15.0,43
674,-15.0,43
675,-10.0,71
676,-15.0,43
677,6.0,154
678,0.0,127
679,-15.0,43
680,-3.0,99
681,-10.0,71
682,30.0,288
683,35.0,314
684,-15.0,43
685,-5.0,99
686,15.0,208
687,-10.0,71
688,-5.0,99
689,30.0,288
690,16.0,201
691,13.0,181
692,-15.0,43
693,21.0,235
694,-15.0,43
695,-15.0,43
696,20.0,235
697,36.0,314
698,1.0,127
699,-4.0,99
700,-4.0,99
701,15.0,208
702,-15.0,43
703,5.0,151
704,0.0,127
705,-4.0,99
706,15.0,208
707,-5.0,99
708,-15.0,43
709,-5.0,99
710,15.0,208
711,-10.0,71
712,27.0,262
713,-15.0,43
714,-8.0,71
715,2.0,127
716,0.0,127
717,-9.0,71
718,-10.0,71
719,26.0,262
720,-15.0,43
721,31.0,288
722,-15.0,43
723,-5.0,99
724,26.0,262
725,-5.0,99
726,1.0,127
727,26.0,262
728,-10.0,71
729,-15.0,43
730,5.0,154
731,-15.0,43
732,-10.0,71
733,0.0,127
734,-14.0,43
735,-15.0,43
736,-10.0,53
737,-10.0,71
738,26.0,262
739,25.0,262
740,0.0,127
741,16.0,208
742,10.0,181
743,10.0,181
744,10.0,181
745,-15.0,43
746,-10.0,71
747,2.0,127
748,-4.0,99
749,-15.0,43
750,1.0,127
751,-10.0,71
752,21.0,235
753,-15.0,43
754,-15.0,43
755,6.0,154
756,-15.0,43
757,-14.0,43
758,-15.0,43
759,50.0,392
760,36.0,314
761,-15.0,43
762,-14.0,43
763,0.0,127
764,-15.0,43
765,3.0,127
766,-4.0,99
767,27.0,262
768,6.0,154
769,10.0,181
770,-10.0,71
771,20.0,235
772,15.0,208
773,-9.0,71
774,-10.0,71
775,-15.0,43
776,-10.0,71
777,10.0,181
778,16.0,208
779,22.0,235
780,-10.0,71
781,-5.0,99
782,-8.0,71
783,14.0,181
784,-4.0,99
785,-10.0,71
786,23.0,235
787,11.0,181
788,-5.0,99
789,16.0,208
790,-14.0,43
791,-9.0,71
792,32.0,288
793,0.0,127
794,42.0,341
795,-10.0,71
796,47.0,366
797,1.0,127
798,5.0,154
799,-10.0,71
800,64.0,443
801,-10.0,71
802,-10.0,71
803,-10.0,71
804,0.0,127
805,-10.0,71
806,-15.0,43
807,20.0,210
808,-15.0,43
809,20.0,235
810,26.0,262
811,-15.0,43
812,-9.0,66
813,-9.0,71
814,-9.0,71
815,-15.0,43
816,20.0,235
817,-5.0,99
818,68.0,468
819,-9.0,71
820,-5.0,99
821,-5.0,99
822,1.0,127
823,16.0,208
824,37.0,314
825,21.0,235
826,10.0,181
827,-15.0,43
828,-15.0,43
829,26.0,262
830,-15.0,43
831,-15.0,43
832,-9.0,71
833,25.0,262
834,15.0,208
835,-15.0,43
836,-10.0,71
837,-10.0,71
838,-5.0,94
839,-15.0,38
840,-10.0,46
841,-15.0,43
842,-14.0,43
843,26.0,262
844,-15.0,43
845,25.0,262
846,11.0,181
847,32.0,288
848,-14.0,43
849,21.0,235
850,-9.0,71
851,1.0,127
852,-5.0,99
853,5.0,154
854,-15.0,37
855,-4.0,99
856,-5.0,99
857,-14.0,43
858,-15.0,43
859,2.0,127
860,10.0,181
861,-9.0,71
862,1.0,127
863,-5.0,99
864,15.0,208
865,-15.0,43
866,26.0,262
867,0.0,127
868,-15.0,43
869,-5.0,87
870,6.0,154
871,0.0,127
872,1.0,127
873,-10.0,71
874,21.0,235
875,-8.0,71
876,-15.0,43
877,21.0,229
878,0.0,127
879,-10.0,71
880,-15.0,43
881,-15.0,43
882,-15.0,43
883,-5.0,99
884,-15.0,43
885,11.0,178
886,-15.0,43
887,16.0,208
888,-5.0,75
889,-15.0,43
890,-8.0,71
891,0.0,127
892,15.0,208
893,-15.0,43
894,-10.0,71
895,20.0,235
896,2.0,127
897,-10.0,71
898,0.0,127
899,-5.0,99
900,55.0,417
901,0.0,127
902,-4.0,99
903,-14.0,43
904,7.0,154
905,12.0,181
906,2.0,127
907,-15.0,43
908,-14.0,43
909,-15.0,43
910,5.0,128
911,-15.0,43
912,1.0,127
913,-14.0,43
914,-4.0,99
915,28.0,262
916,-5.0,89
917,15.0,208
918,31.0,288
919,20.0,235
920,-10.0,55
921,-14.0,43
922,-10.0,71
923,5.0,154
924,-5.0,99
925,-15.0,43
926,-15.0,43
927,10.0,181
928,-14.0,43
929,20.0,208
930,-15.0,24
931,5.0,154
932,23.0,220
933,-15.0,43
934,6.0,154
935,-4.0,99
936,27.0,262
937,11.0,181
938,1.0,106
939,-10.0,71
940,-14.0,43
941,0.0,109
942,-10.0,71
943,-10.0,71
944,6.0,150
945,-15.0,43
946,-4.0,99
947,-4.0,99
948,6.0,154
949,-5.0,96
950,-5.0,99
951,-14.0,42
952,17.0,195
953,-14.0,43
954,-15.0,32
955,-15.0,39
956,-15.0,38
957,0.0,127
958,-15.0,35
959,-10.0,54
