epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6437246799468994,0.6346438527107239,0.001,0.5219913125038147,0.7116122245788574
1,0.6507341861724854,0.6044683456420898,0.001,0.6568390727043152,0.596871554851532
2,0.6594960689544678,0.5959306359291077,0.001,0.6853552460670471,0.5955744385719299
3,0.654601514339447,0.5914512872695923,0.001,0.7271628975868225,0.5258789658546448
4,0.6620944142341614,0.5838195085525513,0.001,0.6186563372612,0.6168917417526245
5,0.6585292220115662,0.5818690657615662,0.001,0.6481391787528992,0.6094204187393188
6,0.6637259125709534,0.5719662308692932,0.001,0.6546640992164612,0.5957763195037842
7,0.6581666469573975,0.5667207837104797,0.001,0.6529724597930908,0.5773385763168335
8,0.6660221219062805,0.5663335919380188,0.001,0.632431149482727,0.6109215021133423
9,0.6683787703514099,0.5646882057189941,0.001,0.6899468302726746,0.5541821718215942
10,0.6648135781288147,0.5594912767410278,0.001,0.616481363773346,0.6196035146713257
11,0.6654782891273499,0.5528035759925842,0.001,0.6650555729866028,0.5974344611167908
12,0.6703728437423706,0.5493913888931274,0.001,0.6984050273895264,0.537139892578125
13,0.6731524467468262,0.5485270023345947,0.001,0.5973900556564331,0.6487049460411072
14,0.6857815980911255,0.5293401479721069,0.0005,0.6667472124099731,0.5581468343734741
15,0.682397723197937,0.5213339924812317,0.0005,0.6123731136322021,0.6358405947685242
16,0.6856003403663635,0.516181230545044,0.0005,0.6568390727043152,0.5550934076309204
17,0.6903136372566223,0.5123860836029053,0.0005,0.6329144239425659,0.6016798615455627
18,0.6869901418685913,0.5113158226013184,0.0005,0.6662638783454895,0.5803573727607727
19,0.68735271692276,0.5039193034172058,0.0005,0.6996133327484131,0.5247145295143127
20,0.6950873136520386,0.4969145357608795,0.0005,0.6534557938575745,0.5837302803993225
21,0.6930328011512756,0.49482089281082153,0.0005,0.6858385801315308,0.5524045825004578
22,0.6965375542640686,0.4892222285270691,0.0005,0.6597390174865723,0.5800403952598572
23,0.693757951259613,0.48908573389053345,0.0005,0.6413726210594177,0.6086151003837585
24,0.6958728432655334,0.48420196771621704,0.0005,0.6558724045753479,0.5640876889228821
25,0.7000423073768616,0.4798681437969208,0.0005,0.6725471019744873,0.5553772449493408
26,0.7025197744369507,0.47580739855766296,0.0005,0.6626389622688293,0.5813139081001282
27,0.7033657431602478,0.469130277633667,0.0005,0.6899468302726746,0.5468842387199402
28,0.7082602977752686,0.46439921855926514,0.0005,0.6998550295829773,0.5261172652244568
29,0.7093480229377747,0.4625498056411743,0.0005,0.7003383040428162,0.5471436977386475
30,0.7220979928970337,0.4442099332809448,0.00025,0.6800386905670166,0.5796973705291748
31,0.7220376133918762,0.4389897584915161,0.00025,0.6870468854904175,0.5591443777084351
32,0.7214333415031433,0.43438470363616943,0.00025,0.6926051378250122,0.5554121732711792
33,0.7243338227272034,0.43015462160110474,0.00025,0.7102465033531189,0.5321138501167297
34,0.7292887568473816,0.42753633856773376,0.00025,0.6858385801315308,0.5727726221084595
35,0.7282010912895203,0.42361587285995483,0.00025,0.6839052438735962,0.5743202567100525
36,0.728140652179718,0.4208417236804962,0.00025,0.6981633901596069,0.5578113198280334
37,0.7324913740158081,0.41792574524879456,0.00025,0.6790720224380493,0.6014153361320496
38,0.7320079803466797,0.41524457931518555,0.00025,0.6684388518333435,0.6014378666877747
