iter,reward,lr
1,547,0.029849999999999998
2,173,0.029700749999999998
3,231,0.029552246249999997
4,231,0.029404485018749996
5,444,0.029257462593656247
6,426,0.029111175280687965
7,108,0.028965619404284524
