episode,return,length
1,-15.0,30
2,-15.0,33
3,-15.0,31
4,-15.0,27
5,-15.0,30
6,-15.0,38
7,-15.0,25
8,-15.0,32
9,-15.0,43
10,-15.0,38
11,-15.0,31
12,-15.0,28
13,-15.0,38
14,-15.0,24
15,-15.0,29
16,-15.0,24
17,-15.0,24
18,-15.0,24
19,-10.0,65
20,-15.0,24
21,-15.0,35
22,-15.0,25
23,-15.0,35
24,-15.0,24
25,-15.0,24
26,-9.0,57
27,-15.0,30
28,-15.0,31
29,-15.0,31
30,-15.0,31
31,-15.0,24
32,-15.0,30
33,-9.0,52
34,-15.0,21
35,-15.0,43
36,-15.0,28
37,-15.0,28
38,-15.0,24
39,-15.0,22
40,-15.0,20
41,-10.0,56
42,-15.0,35
43,-15.0,40
44,-9.0,49
45,-15.0,36
46,-9.0,54
47,-15.0,30
48,-9.0,52
49,-15.0,23
50,-15.0,40
51,-15.0,30
52,-4.0,99
53,-15.0,32
54,-15.0,33
55,-10.0,64
56,-15.0,32
57,-15.0,37
58,-15.0,43
59,-10.0,60
60,-9.0,44
61,-9.0,51
62,-10.0,66
63,-15.0,36
64,-15.0,26
65,-15.0,43
66,-15.0,35
67,-15.0,37
68,-15.0,36
69,-10.0,66
70,-15.0,32
71,-5.0,77
72,-10.0,50
73,-15.0,43
74,-15.0,32
75,-15.0,24
76,-15.0,29
77,-9.0,44
78,-5.0,71
79,-10.0,43
80,-15.0,40
81,-9.0,52
82,-15.0,32
83,-15.0,33
84,-15.0,25
85,-10.0,55
86,-15.0,43
87,-15.0,37
88,-5.0,82
89,-15.0,35
90,-10.0,46
91,-15.0,24
92,-15.0,31
93,-15.0,31
94,-15.0,37
95,-10.0,58
96,-15.0,26
97,-10.0,71
98,1.0,100
99,5.0,144
100,-10.0,58
101,-15.0,33
102,-15.0,30
103,-15.0,39
104,-15.0,32
105,-15.0,43
106,-10.0,46
107,-15.0,31
108,-15.0,39
109,-9.0,53
110,-15.0,36
111,-15.0,42
112,-15.0,38
113,-10.0,63
114,-15.0,36
115,-15.0,35
116,-15.0,43
117,-15.0,43
118,-15.0,31
119,-10.0,43
120,-9.0,62
121,-15.0,37
122,-15.0,40
123,-15.0,24
124,-15.0,43
125,-15.0,43
126,-10.0,47
127,-15.0,24
128,-15.0,32
129,-15.0,42
130,-15.0,41
131,-15.0,30
132,-15.0,40
133,-10.0,43
134,-15.0,32
135,-9.0,62
136,-15.0,31
137,-15.0,38
138,-15.0,33
139,-9.0,56
140,-15.0,40
141,-3.0,99
142,-10.0,46
143,-14.0,42
144,-10.0,71
145,-15.0,27
146,-9.0,45
147,-15.0,43
148,-15.0,36
149,-15.0,43
150,-15.0,24
151,-15.0,25
152,-15.0,24
153,-15.0,24
154,-9.0,50
155,-15.0,40
156,-15.0,24
157,-15.0,34
158,-15.0,38
159,-15.0,43
160,-15.0,32
161,-15.0,24
162,-15.0,32
163,-15.0,38
164,-9.0,66
165,-15.0,32
166,-15.0,43
167,-15.0,31
168,-9.0,44
169,-9.0,51
170,-15.0,31
