episode,return,length
356,-15.0,24
357,-10.0,64
358,-15.0,39
359,-15.0,32
360,-15.0,33
361,-15.0,39
362,-15.0,29
363,-15.0,23
364,-15.0,24
365,-10.0,45
366,-15.0,38
367,-15.0,39
368,-15.0,21
369,-15.0,39
370,-15.0,21
371,-15.0,22
372,-15.0,37
373,-15.0,33
374,-15.0,31
375,-15.0,24
376,-15.0,24
377,-10.0,68
378,-15.0,32
379,-15.0,24
380,-15.0,30
381,-15.0,24
382,-15.0,24
383,-15.0,24
384,-15.0,37
385,-15.0,24
386,-15.0,24
387,-15.0,24
388,-15.0,38
389,-15.0,31
390,-15.0,24
391,-15.0,34
392,-15.0,29
393,-15.0,24
394,-15.0,37
395,-15.0,24
396,-15.0,24
397,-15.0,24
398,-8.0,68
399,-5.0,93
400,-15.0,24
401,-15.0,23
402,-15.0,34
403,-14.0,43
404,-15.0,24
405,-15.0,40
406,-15.0,24
407,-15.0,19
408,-15.0,40
409,-15.0,18
410,-15.0,19
411,-15.0,16
412,-15.0,17
413,-15.0,16
414,-15.0,15
415,-15.0,15
416,-15.0,15
417,-15.0,15
418,-20.0,14
419,-15.0,15
420,-20.0,14
421,-15.0,15
422,-20.0,14
423,-15.0,15
424,-20.0,14
425,-15.0,15
426,-20.0,14
427,-20.0,14
428,-20.0,14
429,-20.0,14
430,-20.0,14
431,-20.0,14
432,-20.0,14
433,-20.0,14
434,-20.0,14
435,-20.0,14
436,-15.0,15
437,-20.0,14
438,-20.0,14
439,-20.0,14
440,-15.0,15
441,-15.0,15
442,-15.0,15
443,-15.0,15
444,-15.0,15
445,-15.0,16
446,-15.0,20
447,-15.0,17
448,-15.0,24
449,-15.0,20
450,-14.0,43
451,-15.0,30
452,-15.0,38
453,-15.0,29
454,-4.0,76
455,-15.0,36
456,-15.0,34
457,-15.0,24
458,-15.0,41
459,-15.0,24
460,-15.0,24
461,-15.0,24
462,-10.0,69
463,-15.0,38
464,-5.0,99
465,-15.0,34
466,-15.0,34
467,-15.0,34
468,-15.0,33
469,-15.0,30
470,-14.0,41
471,-15.0,32
472,-15.0,40
473,-15.0,42
474,-9.0,50
475,-15.0,43
476,-15.0,24
477,-15.0,30
478,-15.0,30
479,-15.0,43
480,-15.0,34
481,-10.0,55
482,-15.0,24
483,-5.0,75
484,0.0,99
485,-15.0,31
486,-15.0,27
487,-15.0,30
488,-15.0,31
489,-15.0,28
490,-15.0,29
491,-15.0,37
492,-9.0,61
493,-15.0,24
494,-15.0,28
495,-15.0,23
496,-15.0,21
497,-10.0,69
498,-15.0,27
499,-15.0,38
500,-15.0,24
501,-15.0,22
502,-15.0,33
503,-15.0,40
504,-15.0,29
