episode,return,length
355,-5.0,99
356,-14.0,43
357,-9.0,68
358,-15.0,43
359,-10.0,71
360,-5.0,99
361,-15.0,43
362,15.0,208
363,-5.0,99
364,-15.0,32
365,5.0,154
366,2.0,127
367,-15.0,43
368,-14.0,43
369,-9.0,69
370,-5.0,84
371,-9.0,63
372,-9.0,65
373,20.0,235
374,-10.0,71
375,-5.0,99
376,-5.0,74
377,17.0,185
378,5.0,130
379,-15.0,40
380,-9.0,64
381,11.0,174
382,11.0,171
383,0.0,127
384,-10.0,71
385,20.0,223
386,-5.0,99
387,-15.0,43
388,0.0,127
389,0.0,127
390,0.0,127
391,-4.0,99
392,-14.0,43
393,-10.0,57
394,-9.0,71
395,27.0,262
396,0.0,117
397,-15.0,43
398,-9.0,71
399,-5.0,99
400,-10.0,70
401,-9.0,71
402,-15.0,43
403,-5.0,73
404,-4.0,99
405,-8.0,71
406,5.0,132
407,0.0,127
408,-15.0,43
409,-10.0,71
410,1.0,127
411,0.0,127
412,-14.0,43
413,0.0,127
414,-15.0,43
415,-4.0,99
416,-5.0,86
417,7.0,154
418,-15.0,43
419,31.0,288
420,-15.0,43
421,5.0,154
422,5.0,154
423,-15.0,43
424,-15.0,43
425,21.0,235
426,-5.0,99
427,-5.0,99
428,-10.0,71
429,42.0,341
430,0.0,127
431,5.0,133
432,-15.0,43
433,-5.0,99
434,-15.0,43
435,0.0,127
436,11.0,181
437,38.0,314
438,30.0,288
439,15.0,208
440,-15.0,43
441,-5.0,99
442,-10.0,71
443,20.0,235
444,21.0,235
445,-15.0,43
446,-5.0,99
447,-15.0,43
448,-9.0,71
449,-10.0,71
450,6.0,154
451,-15.0,43
452,-5.0,99
453,-15.0,43
454,-8.0,71
455,-10.0,71
456,5.0,146
457,22.0,235
458,-15.0,43
459,6.0,154
460,-15.0,43
461,5.0,128
462,-9.0,71
463,0.0,127
464,-15.0,43
465,-10.0,71
466,22.0,235
467,-15.0,43
468,-10.0,71
469,10.0,181
470,42.0,341
471,15.0,208
472,-5.0,99
473,-14.0,43
474,-5.0,99
475,-5.0,99
476,-15.0,43
477,-14.0,43
478,10.0,181
479,-10.0,71
480,-15.0,43
481,10.0,181
482,-5.0,99
483,-14.0,43
484,-15.0,43
485,0.0,127
486,1.0,124
487,-5.0,99
488,-10.0,71
489,25.0,236
490,-5.0,99
491,-10.0,71
492,-15.0,43
493,-15.0,43
494,16.0,208
495,-8.0,71
496,-10.0,71
497,-15.0,43
498,-14.0,43
499,26.0,243
500,1.0,127
501,1.0,120
502,-10.0,71
503,20.0,235
504,0.0,125
505,11.0,181
506,41.0,341
507,0.0,127
508,5.0,154
509,10.0,181
510,-10.0,71
511,-10.0,71
512,-5.0,99
513,21.0,235
514,-15.0,43
515,-15.0,43
516,10.0,181
517,20.0,235
518,5.0,154
519,-10.0,71
520,-15.0,43
521,1.0,127
522,5.0,154
523,62.0,443
524,6.0,154
525,0.0,127
526,-5.0,99
527,-5.0,99
528,20.0,235
529,0.0,127
530,-9.0,71
531,20.0,235
532,-15.0,43
533,-15.0,43
534,-10.0,71
535,-9.0,71
536,-15.0,43
537,-15.0,43
538,-10.0,71
539,21.0,235
540,-15.0,43
541,41.0,341
542,5.0,154
543,-5.0,99
544,-5.0,99
545,15.0,208
546,-10.0,71
547,0.0,127
548,7.0,154
549,-5.0,99
550,-3.0,99
551,25.0,262
552,35.0,314
553,-15.0,43
554,-10.0,71
555,-15.0,43
556,-15.0,43
557,-15.0,43
558,-10.0,71
559,-5.0,99
560,-10.0,71
561,-10.0,71
562,-15.0,43
563,25.0,262
564,70.0,493
565,-9.0,71
566,-4.0,99
567,15.0,208
568,5.0,154
569,0.0,127
570,-5.0,99
571,66.0,468
572,1.0,127
573,-15.0,43
574,10.0,181
575,-15.0,43
576,-5.0,99
577,58.0,417
578,-15.0,43
579,37.0,292
580,20.0,235
581,7.0,154
582,-5.0,99
583,-15.0,43
584,-14.0,43
585,-10.0,71
586,-15.0,43
587,7.0,154
588,25.0,262
589,-4.0,99
590,0.0,127
591,5.0,154
592,20.0,235
593,2.0,127
594,8.0,154
595,-10.0,71
596,7.0,154
597,-5.0,99
598,22.0,235
599,-15.0,43
600,5.0,154
601,-15.0,43
602,-5.0,99
603,0.0,127
604,15.0,208
605,5.0,154
606,2.0,127
607,-5.0,99
608,-10.0,71
609,40.0,341
610,-15.0,43
611,-9.0,71
612,0.0,127
613,-10.0,71
614,7.0,154
615,-10.0,71
616,50.0,385
617,5.0,154
618,14.0,181
619,-15.0,43
620,10.0,181
621,0.0,127
622,20.0,235
623,32.0,288
624,50.0,392
625,-5.0,99
626,16.0,208
627,1.0,127
628,20.0,235
629,5.0,154
630,15.0,208
631,0.0,127
632,16.0,208
633,-9.0,71
634,26.0,262
635,27.0,262
636,-15.0,43
637,-15.0,43
638,0.0,127
639,5.0,154
640,25.0,262
641,-9.0,71
642,-15.0,43
643,-4.0,99
644,-9.0,71
645,-10.0,71
646,36.0,314
647,-9.0,71
648,-15.0,43
649,12.0,181
650,-15.0,43
651,-10.0,71
652,-14.0,43
653,0.0,127
654,0.0,127
655,-10.0,71
656,-10.0,71
657,10.0,181
658,-5.0,99
659,-5.0,99
660,20.0,235
661,-10.0,71
662,-5.0,99
663,-15.0,43
664,-15.0,43
665,-4.0,99
666,11.0,181
667,31.0,288
668,22.0,235
669,6.0,154
670,-10.0,71
671,-15.0,43
672,-15.0,43
673,-10.0,71
674,-9.0,71
675,-15.0,43
676,15.0,208
677,25.0,262
678,-15.0,43
679,0.0,127
680,-4.0,99
681,-10.0,71
682,10.0,181
683,-15.0,43
684,21.0,235
685,-5.0,99
686,71.0,493
687,40.0,341
688,-10.0,71
689,21.0,235
690,-10.0,71
691,25.0,262
692,-15.0,43
693,10.0,181
694,10.0,181
695,-10.0,71
696,5.0,154
697,36.0,314
698,1.0,127
699,1.0,127
700,-15.0,43
701,17.0,208
702,-15.0,43
703,5.0,154
704,12.0,181
705,5.0,154
706,-15.0,43
707,-4.0,99
708,41.0,341
709,-10.0,71
710,-4.0,99
711,-10.0,71
712,35.0,314
713,58.0,417
714,37.0,314
715,-4.0,99
716,12.0,181
717,0.0,127
718,1.0,127
719,-10.0,71
720,-5.0,99
721,10.0,181
722,-5.0,99
723,42.0,341
724,6.0,154
725,20.0,235
726,1.0,127
727,-5.0,99
728,11.0,181
729,-5.0,99
730,-3.0,99
731,-15.0,43
732,16.0,208
733,5.0,154
734,-4.0,99
735,46.0,366
736,55.0,417
737,-15.0,43
738,46.0,366
739,0.0,127
740,0.0,127
741,41.0,341
742,-15.0,43
743,64.0,443
744,32.0,288
745,10.0,181
746,-15.0,43
747,-10.0,71
748,-10.0,71
749,22.0,235
750,75.0,518
751,-4.0,99
752,1.0,127
753,-4.0,99
754,41.0,341
755,5.0,154
756,2.0,127
757,6.0,154
758,0.0,127
759,10.0,181
760,25.0,262
761,-5.0,99
762,0.0,127
763,1.0,127
764,0.0,127
765,33.0,288
766,-5.0,99
767,-4.0,99
768,-15.0,43
769,25.0,262
770,-15.0,43
771,25.0,262
772,-10.0,71
773,21.0,235
774,1.0,127
775,-15.0,43
776,-10.0,71
777,-9.0,71
778,-10.0,71
779,-4.0,99
780,5.0,154
781,35.0,314
782,15.0,208
783,-15.0,43
784,15.0,208
785,31.0,288
786,2.0,127
787,70.0,493
788,72.0,493
789,5.0,154
790,21.0,235
791,30.0,288
792,21.0,235
793,-15.0,43
794,-9.0,71
795,1.0,127
796,-14.0,43
797,15.0,208
798,-10.0,71
799,21.0,235
800,-5.0,99
801,-5.0,99
802,20.0,235
803,1.0,127
804,-5.0,99
805,-10.0,71
806,47.0,366
807,-5.0,76
808,-15.0,43
809,-5.0,99
810,0.0,127
811,25.0,262
812,-4.0,99
813,20.0,235
814,-15.0,43
815,16.0,208
